X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-64.4540206533062,-4.26383439502881,848a0b1ffffffff,4,0,0,0,,35.6857467440714
-50.9938220065746,-24.8527386198071,84a8059ffffffff,4,1,1,4334.83665657639,24,16169.6704182327
-41.5587544581304,-11.0944959794441,84811cbffffffff,4,0,0,2756.78748880553,15,16957.0449790731
-38.1573283442629,-10.8845472947485,8481ac9ffffffff,4,0,1,4178.84738906144,68,57120.7579913139
-42.3730650995846,-21.7166899513366,84a8841ffffffff,4,0,4,3989.11357871674,177,42943.7988799065
-47.7534676528491,-10.924695131183,848170bffffffff,4,0,0,1295.56427811754,,2495.63182241097
-56.0706673340006,-14.2818075308738,848ba25ffffffff,4,0,0,1704.75554371359,6,1212.73922903184
-66.2011470578909,-4.81456095576289,848a727ffffffff,4,0,0,0,,0.124411347191199
-54.5847210219711,-8.464788671228,848b9a3ffffffff,4,0,0,579.454513512218,,41.5579625341052
-55.4386857601627,-19.6591315631362,84a842dffffffff,4,0,0,438.117043140134,,658.769419614226
-66.3574788206183,-5.20027707791154,848a721ffffffff,4,0,0,0,,0
-41.8937800492616,-13.0793841238888,848100dffffffff,4,0,1,2368.19431401383,18,18024.5722059608
-66.8963520088281,-0.849872256038131,848a5e7ffffffff,4,0,0,0,,1.4692880894163
-40.0094312700756,-6.92677252124893,8480301ffffffff,4,0,3,3959.13491454141,32,46157.6798194945
-50.0135838340826,-26.4529450074662,84a8229ffffffff,4,0,3,4017.33400975222,176,44835.9060001373
-59.9929193768729,-0.281556360445054,848ad43ffffffff,4,0,0,0,,0
-48.7493217985233,-4.87349091643655,8481595ffffffff,4,0,0,1319.40845675312,8,5385.15379917622
-56.7293751105022,-2.71457657941754,848a8edffffffff,4,1,1,1956.52892791401,406,93546.7864986509
-69.7223159385278,-8.56548515865171,848b5d3ffffffff,4,0,0,1192.59926818968,,710.16400003247
